frame_id,timestamp_ms,throughput_kbps,estimated_throughput_kbps,rtt_ms,loss_rate,queue_delay_ms,selected_level,budget_bits_per_frame,target_bits_per_frame,quality_psnr,reason
0,0.00,408.162,405.790,60.229,0.00581,5.229,0,13526.34,144,13.060,throughput+hold_upshift
1,33.33,449.164,420.205,59.382,0.00487,4.382,3,14006.85,12240,23.700,throughput+stable_upshift
2,66.67,456.329,431.509,62.549,0.00839,7.549,3,14383.63,12240,23.700,throughput
3,100.00,431.756,430.071,64.080,0.01009,9.080,3,14335.69,12240,23.700,throughput
4,133.33,428.928,428.289,63.283,0.00920,8.283,3,14276.30,12240,23.700,throughput
5,166.67,420.976,424.980,59.580,0.00509,4.580,3,14165.99,12240,23.700,throughput
6,200.00,428.203,424.021,67.530,0.01392,12.530,3,14134.04,12240,23.700,throughput
7,233.33,388.509,410.684,61.011,0.00668,6.011,3,13689.46,12240,23.700,throughput
8,266.67,404.215,406.245,68.835,0.01537,13.835,3,13541.49,12240,23.700,throughput
9,300.00,387.974,398.660,62.884,0.00876,7.884,3,13288.68,12240,23.700,throughput
10,333.33,410.008,401.978,59.103,0.00456,4.103,3,13399.26,12240,23.700,throughput
11,366.67,406.410,402.466,61.728,0.00748,6.728,3,13415.53,12240,23.700,throughput
12,400.00,370.905,390.717,59.872,0.00541,4.872,3,13023.89,12240,23.700,throughput
13,433.33,399.893,391.998,67.414,0.01379,12.414,3,13066.59,12240,23.700,throughput
14,466.67,410.829,397.010,64.881,0.01098,9.881,3,13233.66,12240,23.700,throughput
15,500.00,458.476,417.164,62.622,0.00847,7.622,3,13905.47,12240,23.700,throughput
16,533.33,93.680,303.297,138.622,0.01975,83.622,2,10109.90,3024,19.500,throughput
17,566.67,87.432,227.087,142.980,0.02147,87.980,2,7569.57,3024,19.500,throughput
18,600.00,94.440,179.863,142.220,0.02413,87.220,2,5995.43,3024,19.500,throughput
19,633.33,86.509,146.401,147.495,0.02603,92.495,2,4880.03,3024,19.500,throughput
20,666.67,84.574,124.093,145.279,0.02260,90.279,2,4136.42,3024,19.500,throughput
21,700.00,85.343,109.712,149.245,0.02739,94.245,2,3657.07,3024,19.500,throughput
22,733.33,74.782,96.809,152.652,0.02589,97.652,2,3226.96,3024,19.500,throughput
23,766.67,76.989,89.077,154.907,0.02950,99.907,1,2969.23,720,15.900,throughput
24,800.00,79.962,85.258,147.227,0.02246,92.227,1,2841.94,720,15.900,throughput
25,833.33,85.337,84.676,142.974,0.02042,87.974,1,2822.53,720,15.900,throughput
26,866.67,81.001,82.593,151.827,0.02809,96.827,1,2753.11,720,15.900,throughput
27,900.00,81.315,81.438,148.789,0.02487,93.789,1,2714.61,720,15.900,throughput
28,933.33,83.488,81.366,149.747,0.02702,94.747,1,2712.20,720,15.900,throughput
29,966.67,96.028,85.628,143.076,0.02588,88.076,1,2854.27,720,15.900,throughput
30,1000.00,98.601,89.383,139.118,0.02276,84.118,1,2979.43,720,15.900,throughput
31,1033.33,95.372,90.607,143.602,0.02613,88.602,1,3020.23,720,15.900,throughput
32,1066.67,91.351,90.085,143.919,0.02447,88.919,1,3002.83,720,15.900,throughput
33,1100.00,91.295,89.539,149.220,0.03034,94.220,1,2984.64,720,15.900,throughput
34,1133.33,213.177,131.546,82.343,0.01697,27.343,1,4384.88,720,15.900,throughput+hold_upshift
35,1166.67,189.668,150.733,93.325,0.01742,38.325,2,5024.42,3024,19.500,throughput+stable_upshift
36,1200.00,204.580,168.081,89.765,0.02092,34.765,2,5602.71,3024,19.500,throughput
37,1233.33,209.468,181.656,79.913,0.01242,24.913,2,6055.21,3024,19.500,throughput
38,1266.67,197.593,186.057,89.405,0.01702,34.405,2,6201.89,3024,19.500,throughput
39,1300.00,192.271,187.253,89.564,0.01454,34.564,2,6241.78,3024,19.500,throughput
40,1333.33,207.226,193.489,79.113,0.01041,24.113,2,6449.63,3024,19.500,throughput
41,1366.67,213.455,199.116,83.342,0.01822,28.342,2,6637.20,3024,19.500,throughput
42,1400.00,224.055,206.906,72.950,0.01197,17.950,2,6896.85,3024,19.500,throughput
43,1433.33,237.676,216.057,73.557,0.01946,18.557,2,7201.90,3024,19.500,throughput
44,1466.67,226.499,218.571,74.027,0.01439,19.027,2,7285.69,3024,19.500,throughput
45,1500.00,238.139,223.786,73.478,0.01960,18.478,2,7459.54,3024,19.500,throughput
46,1533.33,239.218,227.566,72.783,0.01937,17.783,2,7585.52,3024,19.500,throughput
47,1566.67,210.029,220.400,81.072,0.01398,26.072,2,7346.66,3024,19.500,throughput
48,1600.00,2.771,144.177,210.903,0.05461,155.903,0,4805.89,144,13.060,high_loss+high_delay
49,1633.33,2.961,94.704,202.897,0.04581,147.897,0,3156.79,144,13.060,high_loss
50,1666.67,2.545,62.407,203.960,0.04678,148.960,0,2080.22,144,13.060,high_loss
51,1700.00,2.597,41.428,206.669,0.04982,151.669,0,1380.93,144,13.060,high_loss+high_delay
52,1733.33,2.851,27.879,204.155,0.04715,149.155,0,929.30,144,13.060,high_loss
53,1766.67,2.696,19.019,205.912,0.04903,150.912,0,633.95,144,13.060,high_loss+high_delay
54,1800.00,3.011,13.362,207.362,0.05080,152.362,0,445.41,144,13.060,high_loss+high_delay
55,1833.33,3.415,9.818,208.521,0.05229,153.521,0,327.27,144,13.060,high_loss+high_delay
