policy,frame_id,deadline_ms,max_layer,quality_psnr,delivered_bits,stalled
greedy,0,133.00,3,23.700,12240,0
greedy,1,166.33,3,23.700,12240,0
greedy,2,199.67,3,23.700,12240,0
greedy,3,233.00,3,23.700,12240,0
greedy,4,266.33,3,23.700,12240,0
greedy,5,299.67,3,23.700,12240,0
greedy,6,333.00,3,23.700,12240,0
greedy,7,366.33,3,23.700,12240,0
greedy,8,399.67,3,23.700,12240,0
greedy,9,433.00,3,23.700,12240,0
greedy,10,466.33,3,23.700,12240,0
greedy,11,499.67,3,23.700,12240,0
greedy,12,533.00,3,23.700,12240,0
greedy,13,566.33,3,23.700,12240,0
greedy,14,599.67,3,23.700,12240,0
greedy,15,633.00,3,23.700,12240,0
greedy,16,666.33,2,19.500,11792,0
greedy,17,699.67,1,15.900,2755,0
greedy,18,733.00,1,15.900,2767,0
greedy,19,766.33,1,15.900,2428,0
greedy,20,799.67,1,15.900,2490,0
greedy,21,833.00,1,15.900,2605,0
greedy,22,866.33,1,15.900,2786,0
greedy,23,899.67,1,15.900,2624,0
greedy,24,933.00,1,15.900,2643,0
greedy,25,966.33,1,15.900,2707,0
greedy,26,999.67,2,19.500,3118,0
greedy,27,1033.00,2,19.500,3212,0
greedy,28,1066.33,2,19.500,3095,0
greedy,29,1099.67,1,15.900,2970,0
greedy,30,1133.00,1,15.900,2950,0
greedy,31,1166.33,2,19.500,6985,0
greedy,32,1199.67,2,19.500,6211,0
greedy,33,1233.00,2,19.500,6676,0
greedy,34,1266.33,2,19.500,6895,0
greedy,35,1299.67,2,19.500,6473,0
greedy,36,1333.00,2,19.500,6315,0
greedy,37,1366.33,2,19.500,6836,0
greedy,38,1399.67,2,19.500,6985,0
greedy,39,1433.00,2,19.500,7378,0
greedy,40,1466.33,2,19.500,7768,0
greedy,41,1499.67,2,19.500,7441,0
greedy,42,1533.00,2,19.500,7782,0
greedy,43,1566.33,2,19.500,7819,0
greedy,44,1599.67,2,19.500,6903,0
greedy,45,1633.00,-1,0.000,86,1
greedy,46,1666.33,-1,0.000,94,1
greedy,47,1699.67,-1,0.000,81,1
greedy,48,1733.00,-1,0.000,82,1
greedy,49,1766.33,-1,0.000,90,1
greedy,50,1799.67,-1,0.000,85,1
greedy,51,1833.00,-1,0.000,94,1
greedy,52,1866.33,-1,0.000,108,1
greedy,53,1899.67,-1,0.000,104,1
greedy,54,1933.00,-1,0.000,107,1
greedy,55,1966.33,-1,0.000,108,1
greedy,56,1999.67,-1,0.000,105,1
greedy,57,2033.00,3,23.700,12240,0
greedy,58,2066.33,3,23.700,12240,0
greedy,59,2099.67,3,23.700,12240,0
greedy,60,2133.00,3,23.700,12240,0
greedy,61,2166.33,3,23.700,12240,0
greedy,62,2199.67,3,23.700,12240,0
greedy,63,2233.00,3,23.700,12240,0
greedy,64,2266.33,3,23.700,12240,0
greedy,65,2299.67,3,23.700,12240,0
greedy,66,2333.00,3,23.700,12240,0
greedy,67,2366.33,3,23.700,12240,0
greedy,68,2399.67,3,23.700,12240,0
greedy,69,2433.00,3,23.700,12240,0
greedy,70,2466.33,3,23.700,12240,0
greedy,71,2499.67,3,23.700,12240,0
greedy,72,2533.00,3,23.700,12240,0
greedy,73,2566.33,3,23.700,12240,0
greedy,74,2599.67,3,23.700,12240,0
greedy,75,2633.00,3,23.700,12240,0
greedy,76,2666.33,3,23.700,12240,0
greedy,77,2699.67,3,23.700,12240,0
greedy,78,2733.00,2,19.500,11395,0
greedy,79,2766.33,1,15.900,2962,0
greedy,80,2799.67,2,19.500,3195,0
greedy,81,2833.00,2,19.500,3126,0
greedy,82,2866.33,2,19.500,3261,0
greedy,83,2899.67,2,19.500,3181,0
greedy,84,2933.00,2,19.500,3034,0
greedy,85,2966.33,1,15.900,2637,0
greedy,86,2999.67,1,15.900,2614,0
greedy,87,3033.00,1,15.900,2407,0
greedy,88,3066.33,1,15.900,2518,0
greedy,89,3099.67,1,15.900,2927,0
greedy,90,3133.00,1,15.900,3016,0
greedy,91,3166.33,3,23.700,12240,0
greedy,92,3199.67,3,23.700,12240,0
greedy,93,3233.00,3,23.700,12240,0
greedy,94,3266.33,3,23.700,12240,0
greedy,95,3299.67,3,23.700,12240,0
greedy,96,3333.00,3,23.700,12240,0
greedy,97,3366.33,3,23.700,12240,0
greedy,98,3399.67,3,23.700,12240,0
greedy,99,3433.00,3,23.700,12240,0
greedy,100,3466.33,3,23.700,12240,0
greedy,101,3499.67,3,23.700,12240,0
greedy,102,3533.00,3,23.700,12240,0
greedy,103,3566.33,3,23.700,12240,0
greedy,104,3599.67,3,23.700,12240,0
greedy,105,3633.00,3,23.700,12240,0
greedy,106,3666.33,3,23.700,12240,0
greedy,107,3699.67,3,23.700,12240,0
greedy,108,3733.00,3,23.700,12240,0
greedy,109,3766.33,3,23.700,12240,0
greedy,110,3799.67,3,23.700,12240,0
greedy,111,3833.00,3,23.700,12240,0
greedy,112,3866.33,3,23.700,12240,0
greedy,113,3899.67,3,23.700,12240,0
greedy,114,3933.00,3,23.700,12240,0
greedy,115,3966.33,3,23.700,12240,0
greedy,116,3999.67,3,23.700,12240,0
greedy,117,4033.00,3,23.700,12240,0
greedy,118,4066.33,3,23.700,12240,0
greedy,119,4099.67,3,23.700,12240,0
sliding_window,0,133.00,3,23.700,12240,0
